condition	sample	geneExpressed
KO	sample1	433
KO	sample2	208
WT	sample3	660
WT	sample4	727
KO	sample5	859
KD	sample6	721
KO	sample7	259
WT	sample8	344
KO	sample9	673
KO	sample10	350
WT	sample11	338
WT	sample12	561
WT	sample13	667
KO	sample14	910
KD	sample15	84
KO	sample16	770
KO	sample17	624
WT	sample18	435
KO	sample19	775
WT	sample20	85
KO	sample21	452
KD	sample22	510
KD	sample23	63
WT	sample24	13
KD	sample25	422
KO	sample26	417
WT	sample27	395
WT	sample28	500
KD	sample29	32
KD	sample30	348
KD	sample31	525
KD	sample32	76
KD	sample33	123
KO	sample34	531
KO	sample35	963
KO	sample36	602
KO	sample37	668
WT	sample38	618
KO	sample39	836
KD	sample40	77
KO	sample41	898
KO	sample42	949
KO	sample43	28
KO	sample44	837
KO	sample45	738
KO	sample46	494
KD	sample47	109
KO	sample48	328
KO	sample49	84
WT	sample50	891
WT	sample51	92
KO	sample52	137
KD	sample53	821
WT	sample54	681
KO	sample55	293
KD	sample56	414
KO	sample57	559
WT	sample58	887
WT	sample59	972
KD	sample60	743
KO	sample61	281
KD	sample62	513
WT	sample63	712
WT	sample64	398
KD	sample65	291
KD	sample66	785
KD	sample67	736
KD	sample68	373
WT	sample69	816
KO	sample70	608
KO	sample71	432
WT	sample72	567
WT	sample73	439
KD	sample74	103
KD	sample75	737
KD	sample76	92
WT	sample77	411
WT	sample78	473
KD	sample79	278
KD	sample80	22
KD	sample81	742
WT	sample82	952
KO	sample83	772
KO	sample84	317
KD	sample85	494
KO	sample86	349
WT	sample87	690
WT	sample88	709
KO	sample89	301
KD	sample90	715
KD	sample91	924
WT	sample92	564
KD	sample93	342
KD	sample94	753
KD	sample95	404
WT	sample96	110
WT	sample97	559
KO	sample98	536
KD	sample99	20
KD	sample100	615
KD	sample101	919
KO	sample102	381
KO	sample103	210
KO	sample104	28
KD	sample105	933
KD	sample106	352
WT	sample107	845
KO	sample108	991
WT	sample109	713
KO	sample110	908
KD	sample111	323
KD	sample112	128
KO	sample113	840
KD	sample114	54
KD	sample115	289
KD	sample116	957
KO	sample117	467
KD	sample118	757
KO	sample119	37
WT	sample120	185
WT	sample121	898
KO	sample122	755
WT	sample123	100
WT	sample124	653
WT	sample125	954
KO	sample126	918
KO	sample127	391
WT	sample128	52
KD	sample129	841
WT	sample130	543
KD	sample131	213
KO	sample132	391
KD	sample133	951
WT	sample134	653
KO	sample135	242
WT	sample136	978
WT	sample137	107
KD	sample138	497
KO	sample139	427
KO	sample140	170
WT	sample141	630
KO	sample142	721
KO	sample143	9
WT	sample144	796
KD	sample145	877
KO	sample146	22
KO	sample147	372
WT	sample148	338
KD	sample149	379
WT	sample150	800
KD	sample151	992
KO	sample152	550
WT	sample153	685
WT	sample154	397
KD	sample155	789
KD	sample156	318
WT	sample157	802
KD	sample158	895
WT	sample159	7
WT	sample160	785
KD	sample161	921
KD	sample162	403
WT	sample163	26
KD	sample164	204
WT	sample165	49
WT	sample166	188
KD	sample167	491
WT	sample168	90
WT	sample169	919
KD	sample170	337
KD	sample171	749
KD	sample172	334
KO	sample173	444
WT	sample174	91
KD	sample175	166
KO	sample176	678
KO	sample177	347
WT	sample178	547
WT	sample179	941
KO	sample180	897
WT	sample181	510
KD	sample182	94
WT	sample183	628
WT	sample184	246
KO	sample185	35
WT	sample186	287
KO	sample187	816
KD	sample188	608
KO	sample189	280
KD	sample190	588
KD	sample191	791
KD	sample192	885
WT	sample193	970
WT	sample194	801
KD	sample195	170
KD	sample196	34
WT	sample197	455
KO	sample198	889
WT	sample199	802
KO	sample200	954
KO	sample201	723
KO	sample202	494
WT	sample203	686
KO	sample204	279
WT	sample205	751
KD	sample206	329
KD	sample207	767
WT	sample208	693
WT	sample209	644
KO	sample210	872
KO	sample211	835
KD	sample212	121
KO	sample213	678
KD	sample214	863
KO	sample215	190
KD	sample216	727
KO	sample217	714
KO	sample218	626
KD	sample219	669
KO	sample220	247
WT	sample221	3
WT	sample222	83
KD	sample223	206
KD	sample224	785
WT	sample225	833
KD	sample226	316
KO	sample227	17
KO	sample228	170
KO	sample229	284
KD	sample230	526
KO	sample231	532
KO	sample232	526
KD	sample233	509
KD	sample234	914
KD	sample235	868
KD	sample236	613
WT	sample237	201
WT	sample238	249
KD	sample239	263
KD	sample240	141
KD	sample241	495
WT	sample242	205
WT	sample243	660
KO	sample244	891
WT	sample245	375
WT	sample246	390
WT	sample247	980
KO	sample248	73
WT	sample249	909
WT	sample250	972
KO	sample251	742
KD	sample252	937
KO	sample253	579
KO	sample254	366
WT	sample255	215
KO	sample256	110
KD	sample257	545
KD	sample258	126
WT	sample259	362
KD	sample260	815
KO	sample261	540
KO	sample262	47
WT	sample263	220
KO	sample264	851
KD	sample265	153
KD	sample266	9
KD	sample267	184
KD	sample268	52
KD	sample269	789
KO	sample270	482
WT	sample271	354
WT	sample272	122
WT	sample273	837
KD	sample274	306
WT	sample275	152
KD	sample276	712
KD	sample277	278
WT	sample278	791
KO	sample279	74
KO	sample280	965
KO	sample281	704
WT	sample282	463
KO	sample283	354
KO	sample284	551
WT	sample285	902
KD	sample286	631
WT	sample287	864
WT	sample288	13
WT	sample289	190
WT	sample290	470
KD	sample291	651
WT	sample292	781
KD	sample293	295
KO	sample294	933
KD	sample295	589
KD	sample296	118
WT	sample297	809
KD	sample298	899
KD	sample299	419
KO	sample300	245
KD	sample301	297
WT	sample302	711
WT	sample303	760
WT	sample304	625
KO	sample305	764
KO	sample306	682
WT	sample307	905
KO	sample308	712
KO	sample309	272
KO	sample310	165
KO	sample311	451
WT	sample312	986
KD	sample313	374
KO	sample314	461
WT	sample315	952
WT	sample316	159
WT	sample317	412
KD	sample318	861
WT	sample319	138
KO	sample320	61
WT	sample321	58
KD	sample322	715
KD	sample323	901
KD	sample324	897
KO	sample325	108
KO	sample326	585
KO	sample327	891
KD	sample328	649
KO	sample329	334
KO	sample330	754
KO	sample331	383
KD	sample332	220
KO	sample333	690
WT	sample334	812
WT	sample335	971
KD	sample336	905
WT	sample337	705
KD	sample338	665
KD	sample339	598
KD	sample340	940
KO	sample341	597
WT	sample342	837
KO	sample343	21
KO	sample344	629
KD	sample345	790
KO	sample346	618
KD	sample347	655
KD	sample348	355
KD	sample349	254
WT	sample350	984
WT	sample351	625
KD	sample352	26
KO	sample353	86
KO	sample354	959
KO	sample355	485
KD	sample356	459
KO	sample357	2
KD	sample358	713
WT	sample359	704
KO	sample360	501
KO	sample361	677
KD	sample362	821
WT	sample363	363
KD	sample364	997
KD	sample365	62
WT	sample366	759
WT	sample367	3
WT	sample368	586
KO	sample369	871
KD	sample370	979
KD	sample371	110
KD	sample372	833
KD	sample373	766
KD	sample374	236
KO	sample375	362
KD	sample376	86
KO	sample377	341
KO	sample378	794
KD	sample379	528
KO	sample380	564
KO	sample381	218
WT	sample382	269
KO	sample383	391
KD	sample384	186
WT	sample385	637
WT	sample386	544
KD	sample387	657
KO	sample388	867
WT	sample389	844
